ID,Nom,Date de début,Date de fin,Durée,Avancée,Responsable,Prédécesseurs,Numéro hiérarchique,Lien internet,Ressources,Notes
0,Création template des écrans Ecrans questions,15/10/18,08/11/18,18,0,,,1,,,
6,"  Ecran 1 « Accueil » Accueil (Mentions légales etc)",15/10/18,15/10/18,1,0,,,1.1,,,
7,"  Ecran 2 « Blocs »  Ma situation - Que dois je faire ? -  Combien et quand je serai indemnisé ?",15/10/18,15/10/18,1,0,,,1.2,,,
8,"  Ecran 21 « Activité » Ma situation actif sans activité autres (artistes, dockers etc) E1 E2 E21 => CAS 1a",16/10/18,16/10/18,1,0,,7,1.3,,,
9,"  Ecran 211 « Heures.A » Nombre d'heures travaillées dans les  3 mois précédent l'arrêt -    > ou < à 150h",16/10/18,16/10/18,1,0,,,1.4,,,
10,"  Ecran 2111 « Employeur.150H » Un seul ou plusieurs employeurs ( plus de 150h d'activité)",17/10/18,17/10/18,1,0,,9,1.5,,,
11,"  Ecran 21111 « Employeur.U.Type » Mon employeur : Entreprise ou  particulier (CESU,TESE, pagemploi)",17/10/18,17/10/18,1,0,,,1.6,,,
12,"  Ecran 211111 « Subro.U » Mon entreprise pratique la subrogation (oui,non ne sais pas)",18/10/18,18/10/18,1,0,,11,1.7,,,
16,"  Ecran 21112 « Employeur.P.Type »plusieurs Employeurs (Entreprise ou Particuliers ou un mixte)",18/10/18,18/10/18,1,0,,,1.8,,,
17,"  Ecran 211121 « Subro.P » Mes employeurs pratiquent tous la subrogation oui/non ne sais pas",19/10/18,19/10/18,1,0,,16,1.9,,,
18,"  Ecran 2112 « Heuresb.A » Dans les 12 mois précédent mon arrêt +/- de 600 heures travaillées (Heuresb.A)",19/10/18,19/10/18,1,0,,,1.10,,,
19,"  Ecran 212 « Indem.SA » Je suis indemnisé par pôle emploi au moment de mon arrêt oui/non",22/10/18,22/10/18,1,0,,18,1.11,,,
20,"  Ecran 2121 « Regul.SA » avant pôle emploi : activité régulière/ irrégulièr",22/10/18,22/10/18,1,0,,,1.12,,,
21,"  Ecran Cas 1 (2.2.1) :  appeler le 3646 Cas 1a 1b 1c 1d  + Téléchargements en pdf",23/10/18,23/10/18,1,0,,20,1.13,,,
23,"  Ecran Cas 2a (2.2.2.1):  l'employeur fournit l'attestation  de salaire) Subrogation Cas 2a  2b",23/10/18,23/10/18,1,0,,,1.14,,,
22,"  Ecran Cas 3a (2.2.3.1) :  L'employeur fournit l'attestation de salire La cpam vous verse vos IJ",24/10/18,24/10/18,1,0,,23,1.15,,,
25,"  Ecran Cas 4a (2.2.4.1)   (l'employeur fournit l'attestation de salaire)  si pas de subrogation la cpam fait le versement à vous sinon à l'employeur",24/10/18,24/10/18,1,0,,,1.16,,,
26,"  Ecran Cas 2b (2.2.2.2) : l'employeur fournit l'attestation de salaire  grâce la subrogation la cpam verse directement à vos employeurs",25/10/18,25/10/18,1,0,,25,1.17,,,
27,"  Ecran Cas 3b (2.2.3.2) : vous n'avez rien à faire vos employeurs fournissent des attestations de salaire à la cpam qui vous versera vos IJ",25/10/18,25/10/18,1,0,,,1.18,,,
28,"  Ecran Cas 4b (2.2.4.2) :vous n'avez rien à faire vos employeurs (subrogation) fournissent une attestation de salaire et versement de la cpam à vos employeurs pour ceux ne pratiquant pas la subrogation versement de la cpam sur votre compte",26/10/18,26/10/18,1,0,,27,1.19,,,
29,"  Ecran Cas 5a (1) (2.2.5.1): Téléchargement et complétion du document d' attestation sur  l'honneur de votre dernier jour travaillé chez votre employeur + copie des 4 derniers bulletins de salaire",26/10/18,26/10/18,1,0,,,1.20,,,
30,"  Ecran Cas 5a (2) (2.2.5.1): Que dois-je faire ? transmettre des documents à ma CPAM",29/10/18,29/10/18,1,0,,29,1.21,,,
31,"  Ecran Cas 5b (1) (2.2.5.2) :  Attestation sur l'honneur  de dernier jour chez chaque employeur  et copie des 4 deniers bulletins de salaire de chaque employeur",29/10/18,29/10/18,1,0,,,1.22,,,
81,"  Ecran Cas 5b (2) (2.2.5.2) : Transmettre ces documents votre CPAM",30/10/18,30/10/18,1,0,,31,1.23,,,
83,"  Ecran Cas 6 (1) (2.2.6): Téléchargez et remplissze une attestation sur l'honneur de votre dernier jour travaillé pour CHACUN de vos employeurs et copie de vos 4 derniers bulletin pour CHAQUE employeur",30/10/18,30/10/18,1,0,,,1.24,,,
33,"  Ecran Cas 6 (2) (2.2.6) :  Votre/vos  employeur(s) doit.doivent transmettre une attestation  de salaire à votre cpam Transmettez ces documents à la CPAM",31/10/18,31/10/18,1,0,,83,1.25,,,
34,"  Ecran Cas 7 (1) (2.2.7):  l'employeur diot transmettre une Attesation de salaire à la CPAM + copie des 12 deniers bulletins de salaire pour CHAQUE employeur",31/10/18,31/10/18,1,0,,,1.26,,,
58,"  Ecran Cas 7 (2) (2.2.7): Transmettez ces documents à votre CPAM par courrier",02/11/18,02/11/18,1,0,,34,1.27,,,
59,"  Ecran Cas 8 (1) (2.2.8) :  Copie notification admission Pole Emploi, Attestation sur l'honneur pour chacun des employeurs précédents",02/11/18,02/11/18,1,0,,,1.28,,,
60,"  Ecran Cas 8 (2) (2.2.8):  4 derniers bulletins de salaire pour chaque employeur et les transmettre à votre CPAM",05/11/18,05/11/18,1,0,,59,1.29,,,
61,"  Ecran 2.3.1. « IJ.Cas 1 » : Combien serai-je indemnisé -Pour pouvoir étudier en détail votre dossier, nous vous conseillons de prendre contact avec l’un de nos conseillers en",05/11/18,05/11/18,1,0,,,1.30,,,
62,"  Ecran 2.3.2. « IJ.Cas 2a-2b » : Votre/vos employeur(s) pratiquent la subrogation..  Vous n’êtes donc pas concerné par les estimations proposées.",06/11/18,06/11/18,1,0,,61,1.31,,,
63,"  Ecran 2.3.3. « IJ.Cas 3-4-5-6-7-8 »: La présente simulation d'indemnités journalières est un outil d'aide à l'information qui vous permet d'obtenir, en fonction des informations que vous allez saisir,",06/11/18,06/11/18,1,0,,,1.32,,,
64,"  Ecran 2.3.3.1. « IJ.Cas 3-4-5-6-8 » :  Indiquez le montant total des salaires bruts* perçus sur les 3 mois précédant le début de l’arrêt",07/11/18,07/11/18,1,0,,63,1.33,,,
65,"  Ecran 2.3.3.2. « IJ.Cas 7 »: Indiquez le montant total des salaires bruts* perçus sur les 12 mois précédant le début de l’arrêt",07/11/18,07/11/18,1,0,,,1.34,,,
85,"  Ecran 2.3.4. « IJ.MTT » Le montant net prévisionnel de votre indemnité journalière est compris entre",08/11/18,08/11/18,1,0,,65,1.35,,,
86,"  Ecran 2.3.5.  « IJ.DELAI » : Le délai estimé de traitement de votre dossier (après réception de l’ensemble des pièces justificatives) est de :",08/11/18,08/11/18,1,0,,,1.36,,,
80,Ecran d' Aide,09/11/18,16/11/18,6,0,,,2,,,
67,"  Ecran 1 : aide /about",09/11/18,09/11/18,1,0,,,2.1,,,
68,"  Ecran 1: aide/about seconde page",09/11/18,09/11/18,1,0,,,2.2,,,
