Nom;Date de début;Date de fin;Durée;Notes
Choix de l'outil ou alternative limesurvey;14/05/2018;15/05/2018;2;
Schéma base de données;16/05/2018;16/05/2018;1;
Apparition des offres selon critères variables (saisonnalité);17/05/2018;21/05/2018;3;Volumétrie des offres ( activation/desactivation ) peut être fastidieuse
Selection des critères;22/05/2018;22/05/2018;1;Critères (sans les profils marketing  ?)
Liste des offres adéquates;23/05/2018;23/05/2018;3;"Si on respecte le CDC : 5 jours
Point à clarifier : Premier filtre sur le proifl ?? (definitions des critères de chaque profil)
(Est-ce que l'on se base sur les profils marketing ? 1 jour )Affichage des critères en lien avec ce profil : 1 jour"
Selection des offres;24/05/2018;24/05/2018;1;
Design general CSS (Sans drag and drop);25/05/2018;01/06/2018;5;
Impression et ou envoi des mails;04/06/2018;06/06/2018;3;Exemple de fiche ( liens images texte) pour formatage du mail envoyé en html 3 jours ( impression pertinent ?  PDF ?)  Archivage des pdfs...en plus si indispensable Copie du mail envoyé dans une boite aux lettres suffisant ? Volumétrie (des mails etc)
Backoffice gestion des offres(logo, image, texte);07/06/2018;07/06/2018;2;
Module de statistiques ;08/06/2018;14/06/2018;5;Précisions sur le périmètre des stats
CONGES DVLpeur;14/06/2018;21/06/2018;5;
;;;;
;;Total  Jours;31;
