452429383	0	5 000 000 EUR
Lundi 08/10/2018	142324462	0	4 000 000 EUR
Samedi 06/10/2018	183948499	0	3 000 000 EUR
Mercredi 03/10/2018	11202431328	0	2 000 000 EUR
Lundi 01/10/2018	1267404	0	2 000 000 EUR
Septembre 2018Samedi 29/09/2018	7101517314	0	4 000 000 EUR
Mercredi 26/09/2018	10151836403	0	3 000 000 EUR
Lundi 24/09/2018	681217303	0	2 000 000 EUR
Samedi 22/09/2018	14183738399	0	4 000 000 EUR
Mercredi 19/09/2018	4152527425	0	3 000 000 EUR
Lundi 17/09/2018	8152642435	0	2 000 000 EUR
Samedi 15/09/2018	1111326465	0	0 EUR
Mercredi 12/09/2018	4112433359	0	9 000 000 EUR
Lundi 10/09/2018	192027384610	0	8 000 000 EUR
Samedi 08/09/2018	61920223410	0	7 000 000 EUR
Mercredi 05/09/2018	671534391	0	6 000 000 EUR
Lundi 03/09/2018	1215184110	0	5 000 000 EUR
Samedi 01/09/2018	11323541426	0	4 000 000 EUR
Août 2018Mercredi 29/08/2018	17193140451	0	3 000 000 EUR
Lundi 27/08/2018	10171824402	0	2 000 000 EUR
Samedi 25/08/2018	6151629443	0	2 000 000 EUR
Mercredi 22/08/2018	6121640423	0	5 000 000 EUR
Lundi 20/08/2018	151840424810	0	4 000 000 EUR
Samedi 18/08/2018	16313337498	0	3 000 000 EUR
Mercredi 15/08/2018	6212740478	0	2 000 000 EUR
Lundi 13/08/2018	2101921406	0	11 000 000 EUR
Samedi 11/08/2018	14274144465	0	10 000 000 EUR
Mercredi 08/08/2018	5151924298	0	9 000 000 EUR
Lundi 06/08/2018	4233032376	0	8 000 000 EUR
Samedi 04/08/2018	9233238413	0	7 000 000 EUR
Mercredi 01/08/2018	15173545474	0	6 000 000 EUR
Juillet 2018Lundi 30/07/2018	7133341432	0	5 000 000 EUR
Samedi 28/07/2018	71318212310	0	4 000 000 EUR
Mercredi 25/07/2018	20222730353	0	3 000 000 EUR
Lundi 23/07/2018	7112040416	0	2 000 000 EUR
Samedi 21/07/2018	1918284410	0	17 000 000 EUR
Mercredi 18/07/2018	18262735437	0	16 000 000 EUR
Lundi 16/07/2018	391631361	0	15 000 000 EUR
Samedi 14/07/2018	3203745473	0	0 EUR
Mercredi 11/07/2018	1112242464	0	8 000 000 EUR
Lundi 09/07/2018	9192136401	0	7 000 000 EUR
Samedi 07/07/2018	31011344110	0	6 000 000 EUR
Mercredi 04/07/2018	16202341455	0	5 000 000 EUR
Lundi 02/07/2018	16363845488	0	4 000 000 EUR
Juin 2018Samedi 30/06/2018	5232936457	0	3 000 000 EUR
Mercredi 27/06/2018	8911264110	0	2 000 000 EUR
Lundi 25/06/2018	9131421325	0	4 000 000 EUR
Samedi 23/06/2018	103236414910	0	3 000 000 EUR
Mercredi 20/06/2018	683033433	0	2 000 000 EUR
Lundi 18/06/2018	271334448	0	2 000 000 EUR
