Code acte;V1_Homme;V1_Femme;min;V2_CritŠre d'ƒge;V3.1_R‚alisable hors m‚decin traitant;V4.1_R‚alisable au cabinet;V4.2_R‚alisable en visite;V6_R‚alisable en urgence;V6_Majoration M;V7_R‚alisable en garde;"V8.2_Association
avec G, GS";V8.2_Association avec VG, VGS;V8_Majoration J;V8_Majoration R
G;1;1;0;150;1;1;0;1;0;1;0;0;0;0
GS;1;1;0;150;1;1;0;1;0;1;0;0;0;0
VG;1;1;0;150;1;0;1;1;0;1;0;0;0;0
VGS;1;1;0;150;1;0;1;1;0;1;0;0;0;0
VL;1;1;0;150;0;0;1;0;0;0;0;0;0;0
C 2,5;0;1;0;150;0;1;1;0;0;0;0;0;0;0
COE;1;1;0;2;0;1;0;0;0;0;0;0;0;0
CCP;0;1;15;18;0;1;0;0;0;0;0;0;0;0
CSO;1;1;3;12;0;1;0;0;0;0;0;0;0;0
K9;1;1;0;150;1;1;0;1;0;1;0;0;0;0
K13,5;1;1;0;150;1;1;0;1;0;1;0;0;0;0
K16;1;1;0;150;1;1;0;1;0;1;0;0;0;0
K24;1;1;0;150;1;1;0;1;0;1;0;0;0;0
MSH;1;1;0;150;0;1;1;0;0;0;1;1;0;0
MIC;1;1;0;150;0;1;1;0;0;0;1;1;0;0
MIS;1;1;0;150;0;1;0;0;0;0;1;0;0;0
PIV;1;1;0;150;0;1;0;0;0;0;1;0;0;0
DEQP003;1;1;0;150;1;1;1;1;0;1;1;1;0;0
EQQM006;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QEHA001;1;1;24;150;1;1;1;0;0;1;1;1;0;0
QZNP005;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZNP012;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZHA003;1;1;0;150;1;1;1;0;0;1;0;0;0;0
JHFA015;1;0;0;150;1;1;1;0;0;1;0;0;0;0
JHHA001;1;0;0;150;1;1;1;0;0;1;1;1;0;0
JHNP001;1;0;0;150;1;1;1;0;0;1;0;0;0;0
JZNP001;1;1;0;150;1;1;1;0;0;1;0;0;0;0
JZNP002;1;1;0;150;1;1;1;0;0;1;0;0;0;0
JZNP003;1;1;0;3;1;1;1;0;0;1;0;0;0;0
BAHA001;1;1;0;150;1;1;1;0;0;1;1;1;0;0
CAFA005;1;1;0;150;1;1;1;0;0;1;0;0;0;0
CAHA001;1;1;0;4;1;1;1;0;0;1;1;1;0;0
CAHA002;1;1;0;150;1;1;1;0;0;1;1;1;0;0
GAHA001;1;1;0;150;1;1;1;0;0;1;1;1;0;0
HAHA002;1;1;0;150;1;1;1;0;0;1;1;1;0;0
QZFA001;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZFA002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZHA005;1;1;0;150;1;1;1;0;0;1;1;1;0;0
QZFA010;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZFA013;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZFA015;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZFA021;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZFA022;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZFA028;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZFA031;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZFA036;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZHA001;1;1;0;150;1;1;1;0;0;1;1;1;0;0
QZNP013;1;1;0;150;1;1;1;0;0;1;0;0;0;0
QZNP025;1;1;0;150;1;1;1;0;0;1;0;0;0;0
JMFA002;0;1;0;150;1;1;1;0;0;1;0;0;0;0
JMFA002;0;1;0;150;1;1;1;1;0;1;0;0;0;0
JMHA001;0;1;0;150;1;1;1;0;0;1;1;1;0;0
JMPA005;0;1;0;150;1;1;1;1;0;1;0;0;1;0
QZNP004;0;1;0;150;1;1;1;0;0;1;0;0;0;0
JKGD001;0;1;0;150;1;1;1;0;0;1;0;0;0;0
JKGE001;0;1;0;150;1;1;1;1;0;1;0;0;0;0
JKHD001;0;1;0;150;1;1;1;0;0;1;1;1;0;0
JKKD001;0;1;0;150;1;1;1;0;0;1;0;0;0;0
JKLD001;0;1;0;150;1;1;1;0;0;1;0;0;0;0
QANP005;0;1;0;150;1;1;1;0;0;1;0;0;0;0
QANP007;0;1;0;150;1;1;1;0;0;1;0;0;0;0
QZGA002;0;1;0;150;1;1;1;0;0;1;0;0;0;0
QZLA004;0;1;0;150;1;1;1;0;0;1;0;0;0;0
BLQP008;1;1;0;150;1;1;1;0;0;1;0;0;0;0
BLQP010;1;1;0;150;1;1;1;1;0;1;0;0;0;0
BLQP012;1;1;0;150;1;1;1;0;0;1;0;0;0;0
BDGP002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
BDGP003;1;1;0;150;1;1;1;1;0;1;0;0;0;0
BJQP002;1;1;0;150;1;1;1;0;0;1;0;0;0;0
CDRP002;1;1;0;150;1;1;1;0;0;1;0;0;0;0
GAGD002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CAGD001;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CAGD002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CDQP010;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CDQP012;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CERP002;1;1;0;150;1;1;1;0;0;1;0;0;0;0
GABD001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
GABD001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
GABD002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
GABD002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
NFMP001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
NFMP002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
NGMP001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
NGMP001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
NZMP003;1;1;0;150;1;1;1;1;1;1;0;0;0;0
NZMP006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
NZMP007;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MADP001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MGMP001;1;1;0;150;1;1;1;1;0;1;0;0;0;0
MZMP001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MZMP004;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MZMP006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MZMP013;1;1;0;150;1;1;1;1;1;1;0;0;0;0
YYYY011;1;1;0;150;1;1;1;1;0;1;0;0;0;0
MJPA010;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QCJA001;1;1;0;150;1;1;1;1;1;1;0;0;1;0
QAGA001;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QAGA002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QAGA003;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QAGA004;1;1;0;150;1;1;1;1;0;1;0;0;0;0
BACA008;1;1;0;150;1;1;1;1;1;1;0;0;0;0
BAPA002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CAJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
GAJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
HAJA003;1;1;0;150;1;1;1;1;1;1;0;0;0;0
HAJA006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA004;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA005;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA012;1;1;0;150;1;1;1;1;1;1;0;0;1;0
