Code acte;Tarif taux plein (en €);"Part AMO
(en €)";"Part AMC
(en €)";Nomenclature;Type
G;25;17.5;7.5;NGAP;NGAP
GS;25;17.5;7.5;NGAP;NGAP
VG;25;17.5;7.5;NGAP;NGAP
VGS;25;17.5;7.5;NGAP;NGAP
VL;46;32.2;13.8;NGAP;NGAP
C 2.5;57.5;40.25;17.25;NGAP;NGAP
COE;46;46;0;NGAP;NGAP
CCP;46;32.2;13.8;NGAP;NGAP
CSO;46;32.2;13.8;NGAP;NGAP
K9;17.28;12.096;5.184;NGAP;NGAP_bis
K13.5;25.92;18.144;7.776;NGAP;NGAP_bis
K16;30.72;21.504;9.216;NGAP;NGAP_bis
K24;46.08;32.256;13.824;NGAP;NGAP_bis
MSH;23;16.1;6.9;NGAP;NGAP_ter
MIC;23;16.1;6.9;NGAP;NGAP_ter
MIS;30;21;9;NGAP;NGAP_ter
PIV;30;21;9;NGAP;NGAP_ter
DEQP003;14.26;9.982;4.278;CCAM;ATM_ter
EQQM006;21.12;14.784;6.336;CCAM;ATM_quater
QEHA001;29.76;20.832;8.928;CCAM;ADC
QZNP005;38.45;26.915;11.535;CCAM;ATM
QZNP012;29.9;20.93;8.97;CCAM;ATM
QZHA003;43.43;30.401;13.029;CCAM;ADC
JHFA015;49.63;34.741;14.889;CCAM;ADC
JHHA001;37.58;26.306;11.274;CCAM;ADC
JHNP001;39;27.3;11.7;CCAM;ATM
JZNP001;50.55;35.385;15.165;CCAM;ATM
JZNP002;34.89;24.423;10.467;CCAM;ATM
JZNP003;72.62;50.834;21.786;CCAM;ATM
BAHA001;29.02;20.314;8.706;CCAM;ADC
CAFA005;95.72;67.004;28.716;CCAM;ADC_bis
CAHA001;29.9;20.93;8.97;CCAM;ADC_ter
CAHA002;32.04;22.428;9.612;CCAM;ADC_ter
GAHA001;30.4;21.28;9.12;CCAM;ADC_ter
HAHA002;29.19;20.433;8.757;CCAM;ADC_ter
QZFA001;70.9;49.63;21.27;CCAM;ADC_bis
QZFA002;54.11;37.877;16.233;CCAM;ADC_bis
